Timestamp;1. Do you have a social media account? (e.g., Facebook, Twitter, etc.);2. Which social media account do you use usually?;3. Which device do you usually use to connect social media?;4. Which type of internet connection do you use?;5. How long have you been using a social media account?;6. How frequently do you post (upload status or add photos/videos) on social media? ;7. How much time do you spend daily in social media?;8. When do you usually use social media?;9. How many friends do you have on social media?;10. How many friends do you know personally in social media? ;11. How many groups you are tagged in social media?;12. What is your main purpose for using social media (e.g. Facebook)?;13. What contents do you mainly look for in your social media news feed?;14.Do you believe social media is a good thing?;15. When you see something in social media, do you instantly believe it?;16. Have you ever experienced peer pressure due to social media?;17. Does your emotion get influenced by other's posts (success, failure, loss)? ;18. Have you ever compared yourself with other’s success or luxurious life?;19. Do you think, your mental wellbeing would be better if you do not use social media?;20. If answer is yes, are you trying to control that thing and trying to reduce the use of social media?;21. Please write your age in years (number).;22. Gender;23. Marital Status;24. Religion;25. Education;26. Profession;27. Monthly income;28. Area of residence;29. Living with-;30. Body weight (Kg);31. Height (m);32. Smoking habit
2/20/2021 21:56:50;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;Less than 500;All of them;Less than 5;To stay connected with people;Updates of people;Yes;No;No;Sometimes;Never;No;Not trying;26;Female;Married;Muslim;Graduate Level;Private job;Above 70,000 Tk;Urban Area;With family;34;1.50;Non-smoker
2/20/2021 23:32:52;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;3-5 per day;More than 5 hours;Frequently at anytime;500-2000;All of them;More than 20;To stay connected with people;To stay connected with people;Yes;No;No;Sometimes;Never;Yes;Trying to reduce the use;24;Female;Unmarried;Muslim;Graduate Level;Unemployed including students;No income;Urban Area;With family;38;1.57;Non-smoker
2/16/2021 21:03:59;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;3-5 hours;Night to late night;Less than 500;Many of them;10-20;To stay connected with people;Motivational/ informative contents;Yes;No;Yes;Not at all;Never;Yes;Trying to reduce the use;18;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Urban Area;With family;39;1.57;Non-smoker
3/1/2021 10:03:23;Yes;Twitter;Mobile Phone;Mobile data;Less than 2-year;Less than 1 per day;3-5 hours;Frequently at anytime;500-2000;Few of them;Less than 5;For time pass;Updates of current affairs/news;Yes;Yes;Yes;Always;All the times;Yes;Trying to reduce the use;17;Female;Unmarried;Hindu;Secondary Level;Unemployed including students;No income;Rural Area;Without family;40;1.57;Non-smoker
2/27/2021 19:27:54;Yes;Twitter;Mobile Phone;Broadband (Wi-Fi);Less than 2-year;More than 5 per day;More than 5 hours;Night to late night;2000-4000;Most of them;10-20;For time pass;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Sometimes;Never;Yes;Not trying;23;Female;Unmarried;Hindu;Graduate Level;Unemployed including students;No income;Rural Area;With family;40;1.57;Smoker
3/6/2021 22:07:05;Yes;Facebook;Tablet;Mobile data;2-5 years;1-2 per day;Less than 1 hour;Evening;500-2000;Few of them;5-10;For time pass;Updates of people;Yes;Yes;Yes;Sometimes;All the times;Yes;Not trying;18;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;40;1.57;Non-smoker
3/1/2021 9:56:43;Yes;Facebook;Laptop;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Afternoon;500-2000;Most of them;5-10;To stay connected with people;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;No;Trying to stop the use;17;Male;Unmarried;Buddho;Secondary Level;Unemployed including students;No income;Rural Area;With family;44;1.65;Smoker
2/22/2021 18:14:33;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);5-10 years;Less than 1 per day;1-3 hours;Frequently at anytime;500-2000;Most of them;More than 20;For time pass;Updates of people;Yes;No;Yes;Sometimes;Never;No;Trying to reduce the use;27;Female;Married;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;59;1.91;Non-smoker
2/14/2021 1:59:48;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);2-5 years;Less than 1 per day;3-5 hours;Night to late night;500-2000;Many of them;More than 20;To make new friends;Get pleasure from funny posts/ memes;Yes;Yes;No;Not at all;Never;No;Not trying;19;Male;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Urban Area;With family;50;1.75;Non-smoker
2/22/2021 20:14:37;Yes;Facebook;Mobile Phone;Broadband (Wi-Fi);More than 10 years;More than 5 per day;1-3 hours;Evening;500-2000;Few of them;Less than 5;To stay connected with people;Motivational/ informative contents;Yes;No;No;Not at all;Never;No;Not trying;24;Female;Unmarried;Muslim;Graduate Level;Private job;10,000-40,000 Tk;Urban Area;With family;45;1.65;Non-smoker
3/5/2021 17:56:36;Yes;Facebook;Desktop;Broadband (Wi-Fi);2-5 years;1-2 per day;1-3 hours;Evening;500-2000;Many of them;5-10;To make new friends;Get pleasure from funny posts/ memes;Yes;Yes;Yes;Not at all;Never;No;Not trying;17;Male;Unmarried;Muslim;Primary level;Unemployed including students;No income;Rural Area;With family;40;1.55;Non-smoker
3/1/2021 14:59:40;Yes;Snapchat;Mobile Phone;Mobile data;Less than 2-year;More than 5 per day;More than 5 hours;Evening;Less than 500;All of them;Less than 5;For time pass;To stay connected with people;Yes;Yes;Yes;Sometimes;Most of the times;No;Not trying;16;Female;Unmarried;Muslim;Secondary Level;Unemployed including students;No income;Rural Area;With family;40;1.55;Non-smoker
